mean_max_gap,mean_mean_gap,median_max_gap,mode,p10_max_gap,p90_max_gap,t
0.0425792588327717,0.019088699882016127,0.04413478954709882,varying,0.01715953272615376,0.061958525582582545,0
0.06786844741813285,0.03589121898031281,0.05264491301220986,varying,0.031225468317982695,0.11841962037247394,1
0.10345292643474206,0.053986833095072094,0.07657922551249363,varying,0.00928249219265429,0.20072767966460847,2
0.10647349554240683,0.04985567669602965,0.05643799514140957,varying,0.0008917462987912921,0.29583823844739904,3
0.11967623565172023,0.054996888065605105,0.03651216072832674,varying,0.0005152912841031032,0.374809184772978,4
0.10609568893099276,0.04427002003190903,0.03599736747205391,varying,0.002290212847688934,0.32018713212510785,5
0.11962895736405392,0.05075832422174407,0.0443654072250817,varying,0.002767770953260186,0.32805512666825126,6
0.11935632362974896,0.04678916184354011,0.03834647609339674,varying,0.0031961598893273657,0.33350309247044063,7
0.10209284788951915,0.04076227729988596,0.02919956409377078,varying,0.001679994838934662,0.2510605486885077,8
0.104644783587076,0.03738352622713129,0.03134086827573024,varying,0.00151010119607084,0.23055006193795066,9
0.09230970445039008,0.03246500966715502,0.02997968263884304,varying,0.0004526797754081342,0.19726096594436388,10
0.09569456810643057,0.035215550351593884,0.022864075066183445,varying,0.00023302152965659962,0.21054023869593352,11
0.0962891400687487,0.03639420701811297,0.030527480038922944,varying,0.00029908646472435086,0.23573878733835119,12
0.11595927203232256,0.04355899826990034,0.036185917129573635,varying,0.002128577230004137,0.37334543642799706,13
0.09142867155779649,0.03172098858658592,0.02840456183150397,varying,0.0009619657010195464,0.15134243852499818,14
0.08149677516004378,0.02988122374375565,0.022768316019719848,varying,0.00015614245557154217,0.15868619937539,15
0.07771488017234156,0.026098683406389166,0.0197207401228659,varying,0.000635881130606164,0.15406643273736517,16
0.06879096364294084,0.02402235237380535,0.02217652609170162,varying,0.0008964304191705797,0.09540329256265598,17
0.07135318733511295,0.02629808077005836,0.028548832590268303,varying,0.0006303690193494721,0.1627289458310097,18
0.09286483514466219,0.0337621260324887,0.03920443738137247,varying,0.007515812596388694,0.2616765074615818,19
0.04374799553500197,0.0196654773656679,0.04488219283474723,fixed_realization,0.018341901012728735,0.06349890543227618,0
0.08040730064996404,0.043652125613098704,0.0637973721574479,fixed_realization,0.03984063598990109,0.1342012451765022,1
0.13143456158023448,0.07030171068821019,0.0973919502096241,fixed_realization,0.01054588636759235,0.2469569222797585,2
0.14453507105930105,0.07004896319449722,0.09995759639170482,fixed_realization,0.000996738106897821,0.3725704759954604,3
0.16398884414464684,0.07682225444967197,0.06957663958738247,fixed_realization,0.0005844003354096294,0.44663162431390685,4
0.14984104744388352,0.06515557269578023,0.05884743260523806,fixed_realization,0.002981777147634192,0.421717914556343,5
0.16542580699700896,0.0698820835586497,0.06880119474594926,fixed_realization,0.004980596410105413,0.46689216908360326,6
0.16320439936710493,0.06435986700712375,0.06608423363866456,fixed_realization,0.005789404391065178,0.4384264783645352,7
0.13936682139266784,0.059522158388401115,0.052950348920639545,fixed_realization,0.001966950321716232,0.35686499177914244,8
0.14423553910047088,0.05272808495258465,0.07066361412362998,fixed_realization,0.0029298800360927245,0.3288864985587619,9
0.12329513833838938,0.050576667218737235,0.052762128967382,fixed_realization,0.0006566908718895537,0.26411147067263685,10
0.1408611544876499,0.05865067673093423,0.043274887196310896,fixed_realization,0.0007663462952872739,0.3891011363197954,11
0.16178899003068734,0.06616610074137796,0.05708889841764206,fixed_realization,0.00044199678906706077,0.43515922017062997,12
0.16076889595760632,0.07041504618984122,0.05545339727371358,fixed_realization,0.002559612664545275,0.41933063756785743,13
0.1302048472645016,0.044916117312666745,0.05494507530581838,fixed_realization,0.0015154700251909644,0.2772805235065645,14
0.11371267505395627,0.04837164004742948,0.03794106778890004,fixed_realization,0.00024366373585732766,0.24639960682226952,15
0.10180869579177892,0.03415411301055103,0.034207327806633825,fixed_realization,0.0008861117128441843,0.2484650412769707,16
0.09958762262232544,0.03439211720799505,0.04300785027861809,fixed_realization,0.0018813015387582962,0.22907269807823935,17
0.10645671196786523,0.038273285625963265,0.05265881390414945,fixed_realization,0.0012305171027910532,0.24156822055490207,18
0.13097475556139837,0.046689145578287454,0.07708383123748658,fixed_realization,0.010729922763942735,0.31697236813706564,19
